date_time,source_key,ambient_temperature,module_temperature,irradiation,date,time
2020-05-15 10:30:00,iq8k7ZNt4Mwm3w0,33.07413526666666,48.6802898,0.9080560733333332,2020-05-15,10:30:00
2020-05-15 10:45:00,iq8k7ZNt4Mwm3w0,33.19247010344828,50.249560172413794,0.943352708275862,2020-05-15,10:45:00
2020-05-15 11:00:00,iq8k7ZNt4Mwm3w0,33.46205666666668,51.61099133333334,0.9579001053333333,2020-05-15,11:00:00
2020-05-15 11:15:00,iq8k7ZNt4Mwm3w0,34.2517951724138,54.89430189655173,0.9704477541379308,2020-05-15,11:15:00
2020-05-15 11:30:00,iq8k7ZNt4Mwm3w0,34.651454666666666,56.08395293333334,0.987932009,2020-05-15,11:30:00
2020-05-15 11:45:00,iq8k7ZNt4Mwm3w0,35.15152596551724,55.593795275862064,0.9533445175862068,2020-05-15,11:45:00
2020-05-15 12:00:00,iq8k7ZNt4Mwm3w0,35.16610503333333,57.4882405,0.9469201943333332,2020-05-15,12:00:00
2020-05-15 12:15:00,iq8k7ZNt4Mwm3w0,36.37757096551724,57.58858162068966,0.977187623448276,2020-05-15,12:15:00
2020-05-15 12:30:00,iq8k7ZNt4Mwm3w0,35.96635756666666,58.8881528,0.9562375366666666,2020-05-15,12:30:00
2020-05-15 12:45:00,iq8k7ZNt4Mwm3w0,35.992946499999995,57.72948603333334,0.9790904166666669,2020-05-15,12:45:00
2020-05-15 13:00:00,iq8k7ZNt4Mwm3w0,36.45858144827585,60.389376793103445,0.9264382120689656,2020-05-15,13:00:00
2020-05-15 13:15:00,iq8k7ZNt4Mwm3w0,36.93956406666666,56.85950403333334,0.904246814,2020-05-15,13:15:00
2020-05-15 13:30:00,iq8k7ZNt4Mwm3w0,36.89079344827587,57.14867327586207,0.8954739062068966,2020-05-15,13:30:00
2020-05-15 13:45:00,iq8k7ZNt4Mwm3w0,36.614378066666674,52.980611200000006,0.8660270623333334,2020-05-15,13:45:00
2020-05-15 14:00:00,iq8k7ZNt4Mwm3w0,36.84276606896551,54.810004896551725,0.8379443868965518,2020-05-15,14:00:00
2020-05-15 14:15:00,iq8k7ZNt4Mwm3w0,37.3528292,53.53894659999999,0.8261285799999998,2020-05-15,14:15:00
2020-05-15 14:30:00,iq8k7ZNt4Mwm3w0,37.268465866666666,51.3589315,0.6810660216666665,2020-05-15,14:30:00
2020-05-15 14:45:00,iq8k7ZNt4Mwm3w0,37.21659834482757,49.36587620689655,0.68664654,2020-05-15,14:45:00
2020-05-15 15:00:00,iq8k7ZNt4Mwm3w0,37.115580266666655,50.190043166666655,0.6538071269999998,2020-05-15,15:00:00
2020-05-15 15:15:00,iq8k7ZNt4Mwm3w0,37.08661827586207,48.28441227586208,0.6051379079310345,2020-05-15,15:15:00
2020-05-15 15:30:00,iq8k7ZNt4Mwm3w0,36.626162833333325,45.371701266666655,0.4486365886666666,2020-05-15,15:30:00
2020-05-15 15:45:00,iq8k7ZNt4Mwm3w0,36.75573503333335,44.97519003333333,0.5056144153333334,2020-05-15,15:45:00
2020-05-15 16:00:00,iq8k7ZNt4Mwm3w0,36.754657551724144,45.037737517241375,0.4504635889655172,2020-05-15,16:00:00
2020-05-15 16:15:00,iq8k7ZNt4Mwm3w0,36.599552466666665,41.94711026666667,0.3271433133333333,2020-05-15,16:15:00
2020-05-15 16:30:00,iq8k7ZNt4Mwm3w0,36.25738223333334,40.564846766666655,0.2918783699999999,2020-05-15,16:30:00
2020-05-15 16:45:00,iq8k7ZNt4Mwm3w0,36.28795296551724,40.679581068965526,0.3002540158620689,2020-05-15,16:45:00
2020-05-15 17:00:00,iq8k7ZNt4Mwm3w0,36.00283696666666,39.219846633333326,0.203801124,2020-05-15,17:00:00
2020-05-15 17:15:00,iq8k7ZNt4Mwm3w0,35.6273375862069,37.1342668275862,0.1339985576206896,2020-05-15,17:15:00
2020-05-15 17:30:00,iq8k7ZNt4Mwm3w0,35.20957449999999,35.67895299999999,0.0668117974,2020-05-15,17:30:00
2020-05-15 17:45:00,iq8k7ZNt4Mwm3w0,34.73165155172415,34.005620655172415,0.0281551489655172,2020-05-15,17:45:00
2020-05-15 18:00:00,iq8k7ZNt4Mwm3w0,34.36776166666667,33.148010066666664,0.0178952295833333,2020-05-15,18:00:00
2020-05-15 18:15:00,iq8k7ZNt4Mwm3w0,33.98528399999999,32.47362655172414,0.010471804437931,2020-05-15,18:15:00
2020-05-15 18:30:00,iq8k7ZNt4Mwm3w0,33.545849633333326,31.703619466666662,0.0026849175524666,2020-05-15,18:30:00
2020-05-15 18:45:00,iq8k7ZNt4Mwm3w0,33.09357417241378,31.061414,0.0,2020-05-15,18:45:00
2020-05-15 19:00:00,iq8k7ZNt4Mwm3w0,32.57998866666667,30.368819166666665,0.0,2020-05-15,19:00:00
2020-05-15 19:15:00,iq8k7ZNt4Mwm3w0,32.106470551724136,29.570269413793103,0.0,2020-05-15,19:15:00
2020-05-15 19:30:00,iq8k7ZNt4Mwm3w0,31.78520906666667,29.3748617,0.0,2020-05-15,19:30:00
